StudentID,Gender,Age,MotherEducation,FatherEducation,StudyTime,PreviousFailures,Internet,Extracurricular,Absences,Midterm1,Midterm2,FinalScore,Attendance,Result
ST0236,F,17,1,1,3,0,no,yes,12,12,12,12,88,Pass
ST0237,F,16,2,3,2,0,yes,no,0,13,13,14,100,Pass
ST0238,M,18,2,2,2,3,yes,no,9,10,9,10,91,Pass
ST0239,F,16,4,4,3,0,yes,yes,4,15,16,16,96,Pass
ST0240,F,18,3,1,2,0,yes,yes,4,8,8,8,96,Fail
ST0241,F,17,3,2,2,0,yes,yes,2,17,18,17,98,Pass
ST0242,M,17,2,3,2,0,yes,no,0,10,11,11,100,Pass
ST0243,M,18,2,1,2,0,yes,yes,2,9,10,11,98,Pass
ST0244,F,17,2,1,3,0,yes,yes,0,15,15,16,100,Pass
ST0245,F,17,4,3,2,0,yes,yes,0,14,12,12,100,Pass
ST0246,M,17,2,2,2,0,yes,yes,0,12,13,13,100,Pass
ST0247,M,17,4,4,2,0,yes,yes,0,13,13,13,100,Pass
ST0248,M,16,4,4,2,0,yes,yes,0,13,13,14,100,Pass
ST0249,M,16,1,1,2,0,yes,no,2,9,9,9,98,Fail
ST0250,M,16,3,2,3,0,yes,yes,0,12,12,12,100,Pass
ST0251,M,17,2,2,2,0,yes,yes,0,16,16,16,100,Pass
ST0252,F,16,2,1,1,0,yes,no,4,9,10,10,96,Pass
ST0253,F,16,4,1,2,0,yes,yes,0,14,13,13,100,Pass
ST0254,F,18,2,4,2,1,yes,no,18,10,10,10,82,Pass
ST0255,F,18,2,2,2,1,yes,no,16,9,8,10,84,Pass
ST0256,F,18,3,3,1,1,yes,no,14,8,7,7,86,Fail
ST0257,M,18,2,2,1,1,yes,yes,26,7,8,8,74,Fail
ST0258,M,17,4,4,1,0,yes,yes,6,10,8,9,94,Fail
ST0259,F,17,3,2,2,0,no,yes,4,14,14,15,96,Pass
ST0260,F,17,1,1,3,0,yes,yes,10,11,10,10,90,Pass
ST0261,F,16,1,2,1,0,yes,no,4,12,11,11,96,Pass
ST0262,F,17,2,1,2,0,no,yes,2,13,13,13,98,Pass
ST0263,F,17,1,4,1,1,yes,no,14,9,9,8,86,Fail
ST0264,M,18,2,2,2,0,yes,no,16,8,7,8,84,Fail
ST0265,F,17,2,2,1,1,yes,no,8,11,9,10,92,Pass
ST0266,F,17,1,1,3,0,yes,yes,4,15,14,15,96,Pass
ST0267,F,17,4,2,2,0,no,yes,4,15,14,14,96,Pass
ST0268,M,17,4,3,2,0,yes,yes,8,15,15,15,92,Pass
ST0269,M,17,4,4,2,0,yes,no,0,12,12,12,100,Pass
ST0270,M,16,4,3,1,0,yes,yes,7,14,14,15,93,Pass
ST0271,M,16,4,4,1,0,yes,yes,4,14,15,15,96,Pass
ST0272,F,17,4,4,2,0,yes,no,2,11,11,12,98,Pass
ST0273,M,17,1,1,3,0,yes,no,2,13,14,15,98,Pass
ST0274,F,17,3,3,3,0,yes,no,10,11,11,11,90,Pass
ST0275,F,17,1,1,2,0,no,no,10,10,9,10,90,Pass
ST0276,F,18,2,1,3,0,yes,no,10,12,10,11,90,Pass
ST0277,M,16,2,1,1,0,yes,no,7,15,16,16,93,Pass
ST0278,F,17,1,1,2,0,no,no,4,11,10,11,96,Pass
ST0279,M,17,2,3,1,0,yes,no,2,9,12,13,98,Pass
ST0280,M,22,3,1,1,3,yes,no,12,7,8,5,88,Fail
ST0281,M,18,3,3,2,0,yes,no,8,10,9,10,92,Pass
ST0282,M,16,0,2,1,0,yes,no,0,11,12,11,100,Pass
ST0283,M,18,3,2,1,0,yes,no,8,7,8,7,92,Fail
ST0284,M,16,3,3,2,1,yes,no,4,9,11,10,96,Pass
ST0285,M,18,2,1,1,2,yes,no,4,7,8,6,96,Fail
ST0286,M,16,2,1,1,0,no,yes,2,14,13,12,98,Pass
ST0287,M,17,2,1,1,0,yes,no,0,12,12,13,100,Pass
ST0288,M,17,1,1,1,1,yes,yes,0,9,10,10,100,Pass
ST0289,F,18,2,1,2,0,yes,no,2,12,12,13,98,Pass
ST0290,F,17,4,2,4,0,yes,yes,2,14,15,17,98,Pass
ST0291,F,19,2,2,2,0,yes,no,0,10,10,11,100,Pass
ST0292,M,18,2,1,2,1,yes,yes,4,11,10,11,96,Pass
ST0293,F,17,4,2,3,0,yes,yes,2,11,12,14,98,Pass
ST0294,F,18,1,1,3,0,no,no,4,11,12,14,96,Pass
ST0295,F,18,2,2,2,0,no,no,4,11,11,13,96,Pass
ST0296,M,19,4,3,2,0,yes,no,4,11,13,14,96,Pass
ST0297,M,18,2,1,2,0,yes,yes,2,16,16,16,98,Pass
ST0298,M,17,2,2,1,0,no,no,0,9,10,10,100,Pass
ST0299,F,17,2,2,4,0,yes,yes,2,10,11,12,98,Pass
ST0300,F,20,2,1,2,0,yes,yes,8,10,12,12,92,Pass
ST0301,F,18,4,3,2,0,yes,no,2,15,15,15,98,Pass
ST0302,M,18,4,3,2,0,yes,no,2,10,10,11,98,Pass
ST0303,M,18,3,2,3,0,no,yes,2,10,11,12,98,Pass
ST0304,F,17,3,3,3,0,no,yes,2,15,12,13,98,Pass
ST0305,F,18,2,2,3,0,yes,yes,0,11,12,13,100,Pass
ST0306,M,17,2,2,1,0,yes,no,8,8,8,9,92,Fail
ST0307,M,18,3,4,2,0,yes,yes,6,15,16,16,94,Pass
ST0308,M,17,3,1,2,0,yes,yes,0,11,11,14,100,Pass
ST0309,F,18,4,4,2,0,yes,yes,8,10,11,12,92,Pass
ST0310,M,18,4,2,2,0,yes,yes,4,10,12,14,96,Pass
ST0311,F,18,2,1,2,0,yes,no,12,8,9,10,88,Pass
ST0312,F,19,3,3,2,0,yes,yes,16,11,12,12,84,Pass
ST0313,F,18,2,3,4,0,yes,yes,10,16,16,16,90,Pass
ST0314,F,18,1,1,2,0,no,no,2,13,13,13,98,Pass
ST0315,M,17,1,2,2,0,no,yes,2,16,17,18,98,Pass
ST0316,F,18,2,1,2,0,yes,no,8,14,14,15,92,Pass
ST0317,F,17,2,4,2,0,yes,no,6,15,16,16,94,Pass
ST0318,F,17,2,2,2,0,yes,no,6,12,12,12,94,Pass
ST0319,F,18,3,2,2,0,yes,no,15,12,9,10,85,Pass
ST0320,M,18,4,4,1,0,yes,yes,6,11,12,12,94,Pass
ST0321,F,18,4,4,2,1,yes,yes,2,14,12,13,98,Pass
ST0322,F,17,2,2,3,0,yes,no,8,13,15,15,92,Pass
ST0323,F,19,3,2,2,1,yes,no,0,9,8,10,100,Pass
ST0324,M,18,4,3,1,0,yes,yes,0,10,10,10,100,Pass
ST0325,M,18,1,2,1,0,yes,no,10,10,10,11,90,Pass
ST0326,M,17,4,1,1,0,yes,yes,22,11,11,10,78,Pass
ST0327,M,17,3,2,1,0,yes,no,18,13,13,13,82,Pass
ST0328,F,18,1,1,4,0,no,yes,2,17,17,18,98,Pass
ST0329,F,18,1,1,2,0,yes,yes,0,12,13,13,100,Pass
ST0330,F,17,2,2,2,0,yes,no,12,12,12,14,88,Pass
ST0331,F,18,2,1,2,0,yes,yes,10,12,13,14,90,Pass
ST0332,M,17,1,1,2,0,yes,no,0,12,12,12,100,Pass
ST0333,F,18,2,2,3,0,yes,no,0,18,18,18,100,Pass
ST0334,F,17,1,1,3,0,yes,no,0,13,13,14,100,Pass
ST0335,M,18,2,1,3,0,yes,yes,0,14,15,15,100,Pass
ST0336,M,18,4,4,2,0,yes,yes,0,17,17,17,100,Pass
ST0337,M,18,4,2,2,0,yes,yes,2,15,16,16,98,Pass
ST0338,F,17,4,3,3,0,yes,no,0,17,18,18,100,Pass
ST0339,F,17,3,1,4,0,no,no,0,18,19,19,100,Pass
ST0340,M,18,3,2,3,0,yes,yes,0,14,15,15,100,Pass
ST0341,M,17,3,3,1,0,yes,no,0,14,15,15,100,Pass
ST0342,F,19,4,4,2,0,yes,yes,2,14,13,13,98,Pass
ST0343,F,18,4,3,2,0,yes,no,0,13,14,14,100,Pass
ST0344,F,18,4,3,4,0,yes,no,0,16,17,17,100,Pass
ST0345,M,18,4,4,1,0,yes,no,0,18,18,17,100,Pass
ST0346,F,18,4,4,2,0,yes,no,0,14,15,15,100,Pass
ST0347,M,17,4,4,1,0,yes,no,0,12,13,13,100,Pass
ST0348,F,17,4,4,3,0,yes,yes,0,7,7,8,100,Fail
ST0349,F,17,4,2,3,0,yes,no,0,16,16,16,100,Pass
ST0350,F,17,3,2,4,0,yes,yes,0,18,18,18,100,Pass
ST0351,M,19,2,1,3,1,yes,yes,0,9,10,11,100,Pass
ST0352,M,20,3,2,1,2,no,yes,0,14,15,15,100,Pass
ST0353,M,19,3,3,2,0,no,yes,0,10,10,11,100,Pass
ST0354,F,18,1,4,2,0,no,no,2,10,10,11,98,Pass
ST0355,F,18,2,1,2,0,yes,yes,2,12,12,15,98,Pass
ST0356,F,17,2,3,2,0,yes,yes,2,11,12,14,98,Pass
ST0357,F,17,4,4,1,0,yes,yes,2,15,16,17,98,Pass
ST0358,F,18,4,3,3,0,yes,yes,2,14,15,17,98,Pass
ST0359,F,18,4,3,1,0,yes,no,8,12,12,15,92,Pass
ST0360,F,17,3,4,3,0,yes,yes,2,15,15,17,98,Pass
ST0361,F,18,3,3,2,0,yes,no,8,11,12,14,92,Pass
ST0362,M,19,4,2,2,0,yes,yes,9,11,10,10,91,Pass
ST0363,F,18,4,4,2,0,yes,no,0,12,11,13,100,Pass
ST0364,F,18,3,4,1,0,yes,yes,4,11,12,14,96,Pass
ST0365,F,17,4,4,1,0,yes,yes,2,14,15,17,98,Pass
ST0366,F,17,4,3,2,0,yes,no,14,15,14,17,86,Pass
ST0367,F,17,3,3,2,0,yes,no,0,12,12,13,100,Pass
ST0368,F,17,2,1,2,0,yes,yes,2,11,12,14,98,Pass
ST0369,M,18,4,4,1,0,yes,no,2,8,9,11,98,Pass
ST0370,F,19,1,1,3,0,no,yes,12,10,10,11,88,Pass
ST0371,F,19,1,1,2,2,yes,no,2,8,8,9,98,Fail
ST0372,F,18,2,2,1,0,yes,yes,2,10,10,10,98,Pass
ST0373,F,17,2,2,2,0,no,no,4,14,13,13,96,Pass
ST0374,F,17,2,2,3,0,yes,yes,0,11,11,10,100,Pass
ST0375,F,17,3,1,3,0,yes,no,0,17,18,17,100,Pass
ST0376,F,17,0,2,3,0,yes,no,0,14,14,15,100,Pass
ST0377,F,18,1,1,3,0,yes,yes,0,14,14,14,100,Pass
ST0378,M,18,4,4,3,0,yes,yes,0,13,14,13,100,Pass
ST0379,M,17,3,3,1,0,yes,yes,0,17,18,17,100,Pass
ST0380,M,17,2,2,1,0,yes,no,2,11,10,10,98,Pass
